agent_id,o_zone_id,d_zone_id,path_length,path_travel_time,path_free_flow_travel_time,link_sequence,node_sequence
46,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
47,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
48,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
49,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
50,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
51,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
52,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
53,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
54,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
55,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
56,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
57,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
58,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
59,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
60,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
61,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
62,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
63,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
64,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
65,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
